"","Energy","Fat","Saturated_fat","Carbohydrate","Sugars","Proteins","Salt","Sodium","Score"
"7398",1131,26,4.3,8.8,2.3,0.7,0.99,0.39,"D"
"7399",1197,25.4,2.7,13.7,9.6,1.4,1.4,0.551,"D"
"7400",87,0.5,0.1,1.6,1.6,1.8,0.08,0.031,"A"
"7401",1064,2.5,1.1,44,8,7.5,1.6,0.63,"C"
"7402",71,0,0,2.7,1,0.8,0.75,0.295,"A"
"7403",341,2.5,0.3,7.3,4.9,3,0.711,0.28,"C"
"7404",1674,5.6,0.9,73.1,2.6,11.2,2,0.787,"C"
"7405",21,0.3,0.1,0.1,0,0.5,0.3,0.118,"B"
"7410",109,0,0,6.4,6.1,0,0.01,0.004,"B"
"7423",1325,1.3,0.2,51,2.4,24,0.01,0.004,"A"
"7425",568,62,7.59,1.78,1.78,0.8,0.89,0.35,"D"
"7426",3761,100,14,0,0,0,0,0,"D"
"7431",2033,24,14,59,24,6.9,0.13,0.051,"D"
"7438",54,1.1,0.1,0.1,0.1,0.4,0.13,0.051,"B"
"7443",288,7,1.1,42,2.5,10.9,1.1,0.433,"A"
"7472",1830,12.7,1.9,69.4,19.1,9.5,1.25,0.492,"D"
"7526",88,0,0,4.8,4.8,0.3,0.03,0.012,"B"
"7527",124,0,0,6.6,6.6,0.4,0.06,0.024,"B"
"7667",3766,100,14,0,0,0,0,0,"D"
"7668",1418,6.9,0.5,61.3,27.1,6.8,1,0.091,"B"
"7669",68.9,0.47,0.04,14.1,9.8,2,0.076,0.03,"A"
"7670",68.9,0.47,0.04,14.1,9.8,2,0.076,0.03,"A"
"7675",1506,1.8,0.4,71,5,12,0.03,0.012,"B"
"7687",170,0,0,11,11,0,0.01,0.004,"E"
"7699",2225,30,5,56.5,2.8,8.6,1.4,0.551,"D"
"7715",782,12,1.6,16.5,3,2.4,0.508,0.2,"C"
"7728",1895,31,19,46,1,6,0.1,0.039,"C"
"7734",1555,1.4,0.3,75,3.5,12,0,0,"A"
"7735",119,0,0,7,7,0,0,0,"B"
"7745",770,14.5,5.5,0.26,0.26,13.5,4.699,1.85,"D"
"7746",352,1.7,1.3,1.4,0,14.9,0.4,0.157,"A"
"7749",508,2.07,2.07,9.68,2.28,3.88,1.15,0.453,"C"
"7751",690,6.2,1.73,6.3,1.43,16,1.22,0.48,"C"
"7752",746,5.2,1.47,11.9,2.89,15,1.47,0.579,"C"
"7757",288,2.8,0.4,7.8,0.5,2.4,0.8,0.315,"B"
"7758",212,2.3,0.3,5.9,1.4,1.1,0.7,0.276,"B"
"7812",971,15.13,7.2,3.29,1.2,20.88,4.25,1.673,"E"
"7816",1607,11.7,4.3,41.7,38.7,25.1,0.706,0.278,"D"
"7853",77,0.3,0.1,1.9,0.6,0.6,0.86,0.339,"A"
"7863",1705,9.1,3.4,67.1,4,11,1.016,0.4,"C"
"7869",179,2,0.3,3.5,0.8,3.1,0.762,0.3,"B"
"7870",253,2.5,0.4,7,2.5,3,0.508,0.2,"B"
"7918",1593,0.6,0.1,84,0.5,8,1.3,0.512,"C"
"7923",2305,38,4.4,42,0.9,7,1.5,0.591,"D"
"7924",264,3.6,2.5,4.7,4.7,3,0.33,0.13,"C"
"7929",147,0.6,0,5,3.6,1.6,0.8,0.315,"A"
